java MLSA,Commit ID,IsML,Bug Fix type,HasTD,TD Name
Smile,bbd97e7855f54132ea5d84c3cf479b6e79efadb1,1,Fix conditionals,1,Model code comprehension
Smile,a6403b880671427d8d40c727050805e27fe2368e,1,Fix model setup,1,Configuration debt
Submarine,55e4584aaf904b4a8651775c8ed11dacb848e00e,0,,,
Submarine,654598bdfdab6f63496a02e00cc45f9e5575fc39,0,,,
Submarine,7dba2360d8c3e9a005f1b31666801c5bf9b8d34b,1,Fix library issue,1,Configuration debt
TableSaw,b3bbcbacff39b8e3d4f83ac803c846e26119066f,0,,,
TableSaw,06db8082afe113a091a1891682c9258e773f5cb9,1,Fix data processing,1,Configuration debt
TableSaw,68362000446ee956c825c78b485067e311793a9f,0,,,
TableSaw,7c8645b347e40800f9873b3c8b112f5800d793ea,1,Fix value update,,
TableSaw,50860555aa20798343ea80dad00167897a4ffd32,0,,,
TableSaw,7a65ca46bb44e328649094b5ee7f98827860fa8f,1,Fix implementation,1,Validation calculation
TableSaw,0e660cc82117ee70a7e9a0dab0ead4ed0a4b3449,0,,,
Vespa,1de39885e3a4a4a2c3147ea5ddf4f1733048294e,1,Fix exception,1,Unstable code
Vespa,357ec015988d671218d4f0c4ead9a51208c9e436,0,,,
Vespa,a6bd5913e4ea3cf33fc75afa24514e258194988a,0,,,
Vespa,e13eeaee7417134a0d67a3a144906a44351b6900,1,Fix clustering,1,Configuration debt
,,198,,167,
