Python MLSA,Commit ID,IsML,Bug Fix Type,Has TD,TD Name,,,,
DeepVariant,25d024f957cc5e4fc187b86fa5e7df96c9b992f5,0,,0,,,,,
DeepVariant,b9c115b56954d11618a58affd11f1ff3eac96bbd,1,Fix conditionals,1,Configuration debt,,,,
Horovod,459b67df38f9254b3d12cb7df6a49059e3134479,0,,0,,,,,
Horovod,6645749fe9a7f328ed683639f9111c08ad34bb2b,0,,0,,,,,
Horovod,c66b9f0d298d93bd22f308ba16837d81b876d48e,1,Fix value update,1,Version Incompatibility,,,,
Horovod,a860d5ee4790ef8207558e2e4b806544cb61bdab,1,Fix data processing ,1,Data preprocessing,,,,
Horovod,a0ac2adb1ab8c0e5cc8d03a3139da8f18c2b6d9c,0,,0,,,,,
Horovod,8773a0cb944af241e9d623287f67fcdf04021dd3,1,Fix default value,1,Configuration debt,,,,
Horovod,ff745402e33cc92e9507bc643fbedc0467c4ef8b,1,Fix conditionals,1,Configuration debt,,,,
Luminoth,e6870905f26095a882892607eb735ce6970ea41a,1,Fix calculation,1,Configuration debt,,,,
Luminoth,8544f4b97c4b957c10db5b9c95a1297111e19fcc,1,Fix value update,1,Data preprocessing,,,,
Luminoth,4b81238ece406f4692707f616db6a3594e0078ec,0,,0,,,,,
Luminoth,0821606f1ca3245af957c527ffd6e7edc222ade1,1,Fix Model setup,1,Data preprocessing,,,,
Luminoth,d887c5a7eb4074d5a5044844374f316b79b4a3f6,1,Fix implementation,0,,,,,
Luminoth,bd67584138adba2fbcce55c331e5e0d60153862c,1,Fix conditionals,1,Fixed Thresholds in Dynamic Systems,,,,
Luminoth,1bfd3a4aa885a8ee6eb295998a6292ef09360f9b,1,Fix Model setup,1,Data preprocessing,,,,
Luminoth,618f2a76924b03646dff2bc3b1e4ab7065bc735e,1,Fix value update,1,Validation calculation,,,,
Luminoth,4b0479429c60db332fc6f8fdeb6c21682b6b7195,1,Fix exception,1,Data preprocessing,,,,
Open_seq2seq,5468950c5760554c1965a5f2a35a160beff3af61,1,Fix estimation,1,Model Code Styling,,,,
Open_seq2seq,608260285e83b347e04e922003468588443a9e5c,1,Fix default value,1,Configuration debt,,,,
Open_seq2seq,96fd996d9b33aa98dbbbd86979b839bb89f6d7a3,1,Fix Model setup,1,Validation calculation,,,,
Open_seq2seq,381315a468404a493556b41f5c042706497e40ef,1,Fix Model setup,1,Validation calculation,,,,
Open_seq2seq,37ce9fa041d60bba7a5d9119aa3643f160dd762d,1,Fix conditionals,1,Validation calculation,,,,
Open_seq2seq,d91954c0738de58982231391162623ef6131619f,1,Fix exception,1,Model code comprehension,,,,
Open_seq2seq,82f5ea78cf438931aacce2749e533e384b34ae62,0,,0,,,,,
Open_seq2seq,e3b7b02561d003eae7ca7c5cc117af40873b23e8,1,Fix conditionals,1,Training code update,,,,
Open_seq2seq,36a363ee47e0885fde4e4254ae02207f89eaa23b,0,,0,,,,,
Open_seq2seq,870807ea093dc1b29fe27372156b24b617aa8317,1,Fix functions,1,Validation calculation,,,,
Open_seq2seq,0669bd98a7126de321a876020189d014f4a5c4bd,1,Fix conditionals,1,Validation calculation,,,,
Open_seq2seq,681c5f7d8e17b6aa093e912d839ae193a30a835c,0,,0,,,,,
Open_seq2seq,c8d9f171322858bc8a7e32d19d141f21c3263646,1,Fix DataType,1,Data type inconsistency,,,,
Open_seq2seq,7a68b94dc52a1107364fd91777986a4e5f217277,1,Fix data processing ,1,Data preprocessing,,,,
Open_seq2seq,f8d10d87130d42a6ac582c08a0b07a2616f4ad84,1,Fix DataType,1,Data type inconsistency,,,,
Bert as service,0af03d5de15ea20e1a3f060e543df99de8266a2e,1,Fix value update,1,Configuration debt,,,,
Bert as service,8013b6290c9a9c4a3ca9f9e20321747c73758f14,0,,0,,,,,
Bert as service,f7382803541b82d08d0448b9d590294b4a0b05ea,0,,0,,,,,
Bert as service,1f0eeebf8c0c6475cc1ca2b926b28e4ab9a52704,0,,0,,,,,
Bert as service,b1153912067e901e67620210d5c7e80fd33b2e15,0,,0,,,,,
Bert as service,b3ed78dcb3b573158db593e6d46d831ddb1e07a5,0,,0,,,,,
Bert as service,7f3b2b43ff61dc6215364b32dbbbaaad66ed593c,0,,0,,,,,
Bert as service,a5cdcae5894a954c5276719779265d0e5a62e88e,0,,0,,,,,
Bert as service,979662418405bc39e02e3856ed1aae77bde40a67,0,,0,,,,,
Bert as service,8cd955dfae57756f8c8e683b6367bcee759a0b80,0,,0,,,,,
Bert as service,07318b6f193745c75467170413229f57893125c6,0,,0,,,,,
Bert as service,8ec980a90a32a78a27ceed6f419511029648b5b4,0,,0,,,,,
Bert as service,167793828f891908272bc47d9e81c3812333c7f2,0,,0,,,,,
Bert as service,346445f0b3d9669ad20ecc320183dcb5537a25a7,0,,0,,,,,
Bert as service,502c8d22251021ecfb9b9d71c4ff8415ee3e73d7,0,,0,,,,,f
Bert as service,970f9340ad8fba3df4ceaab6c19864768217de6f,0,,0,,,,,
ML-Agents,40365ded71c5bf94c79c7b94e75fe52623935261,0,,0,,,,,
ML-Agents,41a1bfd261f23f5559f850a6eb3daeca81d09eb9,1,Fix conditionals,0,,,,,
ML-Agents,3a36e03236fe32055ce229dc1b076aeefd1bb8f0,1,Fix DataType,1,Data type inconsistency,,,,
ML-Agents,55147a68491fb52b80c2050d1f10555281154b2e,1,Fix exception,1,Unstable Code,,,,
ML-Agents,ea60bc9089daa6064763463931ef6b4843d2ac4c,1,Fix initialization,1,Configuration debt,,,,
ML-Agents,130d6113ecc426748623394b56cafc81d7facd60,0,,0,,,,,
ML-Agents,ec0710ccd0e8b2ade6f4fa00435bb2a65f102c91,1,Fix value update,1,Validation calculation,,,,
ML-Agents,8a335172a60c08ababb0d22ad8e02afb9bc5657c,0,,0,,,,,
ML-Agents,d907223eb9ab7fdab644774131dfa8788236edee,0,,0,,,,,
ML-Agents,b05d8289801c6160a31c15ad702bac5dbd4b3e1a,1,Fix Model setup,1,Configuration debt,,,,
ML-Agents,febf287c111a0bbf37dc38651e416baf70e94189,1,Fix value update,1,Hyper parameter tuning,,,,
ML-Agents,063849cc43435f455e7be3a161903b3dc853f46a,1,Fix value update,1,Hyper parameter tuning,,,,
ML-Agents,0a2a0958e9a58233902b59f203f48b1ff4020aa0,1,Fix conditionals,1,Unstable Code,,,,
ML-Agents,a4a538c4d8ecd5b94a8e98133ef3e912e4d00aaf,0,,0,,,,,
ML-Agents,993f822bb9fff271c2d3cc7e334620b1b0cc2da4,0,,0,,,,,
ML-Agents,035958f0117dbd38859805a0aaaabe10549374fd,1,Fix conditionals,1,Hyper parameter tuning,,,,
ML-Agents,df3626ca34f20474a48e13ff52ca4f22866dce31,0,,0,,,,,
ML-Agents,5e9b49452930f1f5ccfef4edf1f49b8a25042c82,0,,0,,,,,
ML-Agents,707730256a6797336ba749f05f7dbf10dadd8126,1,Fix value update,1,Training code update,,,,
ML-Agents,0f0379e264acf6fb80d5c268d2dfd293c541bb48,1,Fix conditionals,1,Training code update,,,,
NiftyNet,e28b81be539ed008b6111656b2db0507e0e64362,1,Fix Model setup,1,Configuration debt,,,,
NiftyNet,b5c0c001b698c0ab1afa0757fdfea014bfaa2fbe,1,Fix Model setup,1,Hyper parameter tuning,,,,
NiftyNet,8de56fbb9484e3c054f0939b0993e3397b23289f,1,Fix calculation,1,Data preprocessingdebt,,,,
NiftyNet,3c55640a6c9648269d3ec83493c6980901afdcf4,0,,0,,,,,
NiftyNet,2bca7f3cb86242c9c03ebbd318ea739065f0f1cf,1,Fix value update,1,Data preprocessing,,,,
NiftyNet,0584aff1e140e92b2530c37642c3b7739629dc88,1,Fix conditionals,1,Data preprocessing,,,,
NiftyNet,d7cfa164283cead7812f3e333f72c4215b182ed3,0,,0,,,,,
NiftyNet,d8c6f621ebb4f7d73564a62cab8f7a9b5761dd8e,1,Fix Model setup,1,Data preprocessing,,,,
NiftyNet,c8cbf41377e1f548f32ba0cd2f287ea4574788f8,0,,0,,,,,
NiftyNet,82f885676d377130cd8e8b83d768d1af42a48584,1,Fix value update,1,Configuration debt,,,,
NiftyNet,68a98a9da28a6c629af6a5707e8827fb9d799d3c,1,Fix library issue,1,Version Incompatibility,,,,
NiftyNet,efc28830d062803cf525ce8c23f66cad520761cc,1,Fix conditionals,1,Model code comprehension,,,,
NiftyNet,24c08490cb11836e3d77a4ff15ee49ebd74fa718,1,Fix value update,1,Configuration debt,,,,
NiftyNet,1d50e36e8a4b413f39f4d39bc3ad544fdb45e069,0,,0,,,,,
NiftyNet,ef971bd89fba40edfe60f771397f5f2477eb5ac4,1,Fix calculation,1,Validation calculation,,,,
NiftyNet,09b3ec1cef679512130fa5bdd9c1f4f6b936ad89,1,Fix calculation,1,Validation calculation,,,,
NiftyNet,a63d39137d05b574e4b77f8492c87f1d280d1b74,1,Fix exception,1,Validation calculation,,,,
NiftyNet,55f8f9b8feef9717c58980a811a04e801350b450,1,Fix Model setup,1,Configuration debt,,,,
NiftyNet,38772b012938b44452c6fe700eb1ca74eab563d1,0,,0,,,,,
NiftyNet,07ce8d4ef8d70bb403edb19cf1b110048a1c76c4,1,Fix conditionals,1,Configuration debt,,,,
DeepPavlov,67b92045dd0887239e6c1b9ab8dffb3fe8e68e69,1,Fix conditionals,1,Configuration debt,,,,
DeepPavlov,880c3f3e2ae7c361f7475a3dfcdf352df71239ca,1,Fix Model setup,1,Pipeline Organization,,,,
DeepPavlov,97e131f8ddee8c501cae2f8cda4f887a49c07312,1,Fix value update,1,Hyper parameter tuning,,,,
